"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,9224,776,9816,9997,10000,184,3,0
"2",2,9231,769,9840,9990,10000,160,10,0
"3",3,8892,1108,9643,9937,10000,357,63,0
"4",4,8906,1094,9793,9986,10000,207,14,0
"5",5,8986,1014,9833,9982,10000,167,18,0
"6",6,9089,911,9820,9989,10000,180,11,0
"7",7,8976,1024,9860,9979,10000,140,21,0
"8",8,8942,1058,9817,9981,10000,183,19,0
"9",9,9035,965,9615,9892,10000,385,108,0
"10",10,9270,730,9668,9866,10000,332,134,0
"11",11,8968,1032,9639,9922,10000,361,78,0
"12",12,9054,946,9686,9883,10000,314,117,0
"13",13,9224,776,9604,9958,10000,396,42,0
"14",14,9400,600,9809,9980,10000,191,20,0
"15",15,9203,797,9674,9910,10000,326,90,0
"16",16,9209,791,9664,9950,10000,336,50,0
"17",17,9108,892,9917,9959,10000,83,41,0
"18",18,9442,558,9869,9956,10000,131,44,0
"19",19,9268,732,9744,9990,10000,256,10,0
"20",20,9250,750,9710,9929,10000,290,71,0
"21",21,9282,718,9818,9941,10000,182,59,0
"22",22,9140,860,9813,9994,10000,187,6,0
"23",23,8861,1139,9716,10000,10000,284,0,0
"24",24,9070,930,9864,9937,10000,136,63,0
"25",25,8764,1236,9843,9937,10000,157,63,0
"26",26,9134,866,9874,9996,10000,126,4,0
"27",27,9100,900,9943,9979,10000,57,21,0
"28",28,513,32,545,545,545,0,0,0
