"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,8427,1573,9684,9987,10000,316,13,0
"2",2,8621,1379,9798,9965,10000,202,35,0
"3",3,8090,1910,9283,9887,10000,717,113,0
"4",4,7978,2022,8981,9752,10000,1019,248,0
"5",5,8299,1701,9600,9935,10000,400,65,0
"6",6,7890,2110,9383,9937,10000,617,63,0
"7",7,8428,1572,9646,9803,10000,354,197,0
"8",8,8547,1453,9724,9969,10000,276,31,0
"9",9,7843,2157,9612,9848,10000,388,152,0
"10",10,7764,2236,8965,9744,10000,1035,256,0
"11",11,8530,1470,9441,9950,10000,559,50,0
"12",12,8297,1703,9401,9879,10000,599,121,0
"13",13,8287,1713,9271,9849,10000,729,151,0
"14",14,7910,2090,9395,9751,10000,605,249,0
"15",15,8447,1553,9627,9963,10000,373,37,0
"16",16,8330,1670,9302,9862,10000,698,138,0
"17",17,8208,1792,9241,9868,10000,759,132,0
"18",18,8393,1607,9588,9981,10000,412,19,0
"19",19,8115,1885,9631,9984,10000,369,16,0
"20",20,8208,1792,9668,9883,10000,332,117,0
"21",21,5673,2507,8030,8168,8180,150,12,0
