"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,8109,1891,9643,9998,10000,357,2,0
"2",2,8124,1875,9765,9985,9999,234,14,0
"3",3,7955,1972,9403,9840,9927,524,87,0
"4",4,7543,2456,9729,9997,9999,270,2,0
"5",5,7663,2336,9504,9989,9999,495,10,0
"6",6,8164,1836,9802,9988,10000,198,12,0
"7",7,8416,1584,9874,9995,10000,126,5,0
"8",8,8651,1348,9799,9951,9999,200,48,0
"9",9,8295,1705,9910,9996,10000,90,4,0
"10",10,6754,3244,8591,9647,9998,1407,351,0
"11",11,7975,2025,9439,9941,10000,561,59,0
"12",12,7554,2446,8995,9810,10000,1005,190,0
"13",13,7866,2082,9487,9775,9948,461,173,0
"14",14,7775,2138,9772,9894,9913,141,19,0
