"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,9235,765,9842,9990,10000,158,10,0
"2",2,8890,1110,9641,9938,10000,359,62,0
"3",3,8907,1093,9792,9986,10000,208,14,0
"4",4,8982,1018,9832,9982,10000,168,18,0
"5",5,9093,907,9820,9989,10000,180,11,0
"6",6,8975,1025,9863,9980,10000,137,20,0
"7",7,8938,1062,9819,9981,10000,181,19,0
"8",8,9041,959,9613,9891,10000,387,109,0
"9",9,9280,720,9673,9868,10000,327,132,0
"10",10,8966,1034,9630,9918,10000,370,82,0
"11",11,9062,938,9690,9883,10000,310,117,0
"12",12,9235,765,9606,9959,10000,394,41,0
"13",13,9396,604,9806,9980,10000,194,20,0
"14",14,9207,793,9677,9910,10000,323,90,0
"15",15,9206,794,9661,9952,10000,339,48,0
"16",16,9111,889,9918,9961,10000,82,39,0
"17",17,9442,558,9874,9956,10000,126,44,0
"18",18,9276,724,9746,9990,10000,254,10,0
"19",19,9251,749,9712,9929,10000,288,71,0
"20",20,9277,723,9813,9941,10000,187,59,0
"21",21,9131,869,9811,9994,10000,189,6,0
"22",22,8861,1139,9720,10000,10000,280,0,0
"23",23,9076,924,9867,9939,10000,133,61,0
"24",24,8762,1238,9842,9937,10000,158,63,0
"25",25,9133,867,9873,9996,10000,127,4,0
"26",26,9107,893,9943,9979,10000,57,21,0
"27",27,513,32,545,545,545,0,0,0
