"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,8367,1633,9746,9957,10000,254,43,0
"2",2,7765,2235,9136,9843,10000,864,157,0
"3",3,7513,2487,8588,9713,10000,1412,287,0
"4",4,7965,2035,9522,9925,10000,478,75,0
"5",5,7396,2604,9262,9887,10000,738,113,0
"6",6,8140,1860,9629,9798,10000,371,202,0
"7",7,8298,1702,9663,9969,10000,337,31,0
"8",8,7313,2687,9542,9853,10000,458,147,0
"9",9,7601,2399,8829,9695,10000,1171,305,0
"10",10,8392,1608,9380,9905,10000,620,95,0
"11",11,8146,1854,9315,9812,10000,685,188,0
"12",12,8059,1941,9120,9717,10000,880,283,0
"13",13,7754,2246,9382,9719,10000,618,281,0
"14",14,8341,1659,9540,9927,10000,460,73,0
"15",15,8025,1975,9056,9812,10000,944,188,0
"16",16,8100,1900,9208,9828,10000,792,172,0
"17",17,8222,1778,9580,9981,10000,420,19,0
"18",18,7703,2297,9546,9983,10000,454,17,0
"19",19,8081,1919,9662,9892,10000,338,108,0
"20",20,5500,2680,8026,8173,8180,154,7,0
