"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,8000,2000,9599,9998,10000,401,2,0
"2",2,8541,1459,9790,9968,10000,210,32,0
"3",3,8012,1988,9254,9882,10000,746,118,0
"4",4,7854,2146,8882,9741,10000,1118,259,0
"5",5,8222,1778,9577,9943,10000,423,57,0
"6",6,7750,2250,9360,9921,10000,640,79,0
"7",7,8384,1616,9636,9798,10000,364,202,0
"8",8,8482,1518,9708,9968,10000,292,32,0
"9",9,7689,2311,9596,9856,10000,404,144,0
"10",10,7723,2277,8936,9740,10000,1064,260,0
"11",11,8500,1500,9418,9941,10000,582,59,0
"12",12,8255,1745,9388,9865,10000,612,135,0
"13",13,8227,1773,9240,9830,10000,760,170,0
"14",14,7899,2101,9390,9733,10000,610,267,0
"15",15,8435,1565,9613,9958,10000,387,42,0
"16",16,8242,1758,9244,9844,10000,756,156,0
"17",17,8192,1808,9231,9856,10000,769,144,0
"18",18,8363,1637,9590,9981,10000,410,19,0
"19",19,8009,1991,9597,9982,10000,403,18,0
"20",20,8162,1838,9664,9891,10000,336,109,0
"21",21,5653,2527,8032,8168,8180,148,12,0
