Algorithm,Class,Cluster Error,Subclass Error,Neighborhood Error
Flat,Glut,0.5729517,0.1453903,0.03911933
HKNN,Glut,0.5463771,0.1335561,0.03837776
Flat,GABA,0.8797232,0.1984133,0.06714391
HKNN,GABA,0.8760688,0.1935986,0.06386179
Flat,NN,0.1813766,0.009858597,0.001619113
HKNN,NN,0.1692313,0.01095535,0.002414501
Flat,Hybrid,1,1,0.003401361
HKNN,Hybrid,1,1,0.003964321
Flat,IMN,0.9996366,0.9556686,0.2467297
HKNN,IMN,1,0.9564103,0.2564103
