"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,9247,753,9825,10000,10000,175,0,0
"2",2,9277,723,9851,9989,10000,149,11,0
"3",3,8912,1088,9653,9945,10000,347,55,0
"4",4,8899,1101,9793,9988,10000,207,12,0
"5",5,8983,1017,9837,9983,10000,163,17,0
"6",6,9115,885,9830,9989,10000,170,11,0
"7",7,9018,982,9872,9981,10000,128,19,0
"8",8,9045,955,9838,9983,10000,162,17,0
"9",9,9129,871,9642,9901,10000,358,99,0
"10",10,9329,671,9692,9875,10000,308,125,0
"11",11,9023,977,9651,9919,10000,349,81,0
"12",12,9130,870,9702,9887,10000,298,113,0
"13",13,9284,716,9630,9961,10000,370,39,0
"14",14,9469,531,9826,9981,10000,174,19,0
"15",15,9284,716,9696,9910,10000,304,90,0
"16",16,9275,725,9682,9954,10000,318,46,0
"17",17,9183,817,9922,9960,10000,78,40,0
"18",18,9486,514,9874,9958,10000,126,42,0
"19",19,9334,666,9751,9988,10000,249,12,0
"20",20,9306,694,9727,9934,10000,273,66,0
"21",21,9366,634,9840,9945,10000,160,55,0
"22",22,9162,838,9818,9994,10000,182,6,0
"23",23,8867,1133,9738,9999,10000,262,1,0
"24",24,9102,898,9869,9941,10000,131,59,0
"25",25,8785,1215,9841,9942,10000,159,58,0
"26",26,9175,825,9886,9996,10000,114,4,0
"27",27,9121,879,9950,9980,10000,50,20,0
"28",28,512,33,545,545,545,0,0,0
