"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,7845,2155,9621,9985,10000,379,15,0
"2",2,8366,1634,9745,9958,10000,255,42,0
"3",3,7754,2246,9135,9840,10000,865,160,0
"4",4,7527,2473,8597,9717,10000,1403,283,0
"5",5,7966,2034,9524,9926,10000,476,74,0
"6",6,7388,2612,9262,9889,10000,738,111,0
"7",7,8128,1872,9623,9799,10000,377,201,0
"8",8,8303,1697,9671,9973,10000,329,27,0
"9",9,7321,2679,9549,9860,10000,451,140,0
"10",10,7604,2396,8826,9694,10000,1174,306,0
"11",11,8391,1609,9378,9903,10000,622,97,0
"12",12,8168,1832,9321,9815,10000,679,185,0
"13",13,8066,1934,9124,9725,10000,876,275,0
"14",14,7761,2239,9376,9715,10000,624,285,0
"15",15,8340,1660,9541,9926,10000,459,74,0
"16",16,8032,1968,9052,9814,10000,948,186,0
"17",17,8084,1916,9199,9824,10000,801,176,0
"18",18,8207,1793,9571,9981,10000,429,19,0
"19",19,7699,2301,9545,9984,10000,455,16,0
"20",20,8066,1934,9665,9892,10000,335,108,0
"21",21,5503,2677,8028,8174,8180,152,6,0
