"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,7677,2323,9533,9998,10000,467,2,0
"2",2,8457,1543,9770,9964,10000,230,36,0
"3",3,7885,2115,9212,9867,10000,788,133,0
"4",4,7663,2337,8717,9725,10000,1283,275,0
"5",5,8118,1882,9545,9935,10000,455,65,0
"6",6,7602,2398,9317,9912,10000,683,88,0
"7",7,8239,1761,9630,9799,10000,370,201,0
"8",8,8391,1609,9687,9970,10000,313,30,0
"9",9,7504,2496,9574,9853,10000,426,147,0
"10",10,7670,2330,8892,9716,10000,1108,284,0
"11",11,8447,1553,9397,9918,10000,603,82,0
"12",12,8225,1775,9357,9837,10000,643,163,0
"13",13,8163,1837,9184,9773,10000,816,227,0
"14",14,7848,2152,9389,9731,10000,611,269,0
"15",15,8388,1612,9573,9939,10000,427,61,0
"16",16,8145,1855,9141,9829,10000,859,171,0
"17",17,8136,1864,9217,9849,10000,783,151,0
"18",18,8304,1696,9598,9981,10000,402,19,0
"19",19,7841,2159,9569,9983,10000,431,17,0
"20",20,8116,1884,9666,9890,10000,334,110,0
"21",21,5579,2601,8030,8170,8180,150,10,0
