"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,7877,2123,9624,9982,10000,376,18,0
"2",2,8360,1640,9747,9956,10000,253,44,0
"3",3,7760,2240,9131,9839,10000,869,161,0
"4",4,7526,2474,8586,9712,10000,1414,288,0
"5",5,7953,2047,9516,9927,10000,484,73,0
"6",6,7382,2618,9264,9889,10000,736,111,0
"7",7,8130,1870,9622,9801,10000,378,199,0
"8",8,8314,1686,9667,9970,10000,333,30,0
"9",9,7308,2692,9550,9858,10000,450,142,0
"10",10,7604,2396,8826,9698,10000,1174,302,0
"11",11,8393,1607,9377,9905,10000,623,95,0
"12",12,8171,1829,9319,9811,10000,681,189,0
"13",13,8072,1928,9117,9713,10000,883,287,0
"14",14,7760,2240,9378,9715,10000,622,285,0
"15",15,8343,1657,9541,9928,10000,459,72,0
"16",16,8032,1968,9069,9820,10000,931,180,0
"17",17,8089,1911,9202,9827,10000,798,173,0
"18",18,8213,1787,9574,9981,10000,426,19,0
"19",19,7706,2294,9553,9983,10000,447,17,0
"20",20,8084,1916,9660,9891,10000,340,109,0
"21",21,5494,2686,8028,8174,8180,152,6,0
