"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,6893,3107,9428,9987,10000,572,13,0
"2",2,6909,3090,9655,9976,9999,344,23,0
"3",3,7372,2555,8939,9777,9927,988,150,0
"4",4,6568,3431,9468,9989,9999,531,10,0
"5",5,6458,3541,9134,9986,9999,865,13,0
"6",6,7431,2569,9643,9984,10000,357,16,0
"7",7,7951,2049,9819,9994,10000,181,6,0
"8",8,8190,1809,9769,9949,9999,230,50,0
"9",9,7605,2395,9901,9996,10000,99,4,0
"10",10,6509,3489,8370,9613,9998,1628,385,0
"11",11,7530,2470,9328,9909,10000,672,91,0
"12",12,7130,2870,8741,9778,10000,1259,222,0
"13",13,7320,2628,9450,9798,9948,498,150,0
"14",14,7385,2528,9734,9883,9913,179,30,0
"15",15,1280,309,1471,1565,1589,118,24,0
