"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,6906,3094,9426,9986,10000,574,14,0
"2",2,6941,3058,9660,9976,9999,339,23,0
"3",3,7388,2539,8951,9778,9927,976,149,0
"4",4,6574,3425,9474,9989,9999,525,10,0
"5",5,6469,3530,9143,9987,9999,856,12,0
"6",6,7434,2566,9644,9984,10000,356,16,0
"7",7,7979,2021,9819,9995,10000,181,5,0
"8",8,8193,1806,9764,9949,9999,235,50,0
"9",9,7610,2390,9900,9995,10000,100,5,0
"10",10,6504,3494,8368,9612,9998,1630,386,0
"11",11,7515,2485,9320,9905,10000,680,95,0
"12",12,7132,2868,8742,9780,10000,1258,220,0
"13",13,7323,2625,9453,9800,9948,495,148,0
"14",14,7386,2527,9735,9884,9913,178,29,0
"15",15,1242,347,1446,1541,1589,143,48,0
