"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,7615,2385,9569,9982,10000,431,18,0
"2",2,8196,1804,9696,9950,10000,304,50,0
"3",3,7592,2408,9066,9807,10000,934,193,0
"4",4,7280,2720,8400,9661,10000,1600,339,0
"5",5,7812,2188,9454,9903,10000,546,97,0
"6",6,7119,2881,9168,9846,10000,832,154,0
"7",7,7979,2021,9610,9795,10000,390,205,0
"8",8,8148,1852,9624,9969,10000,376,31,0
"9",9,7034,2966,9523,9865,10000,477,135,0
"10",10,7535,2465,8773,9671,10000,1227,329,0
"11",11,8287,1713,9324,9875,10000,676,125,0
"12",12,8085,1915,9275,9770,10000,725,230,0
"13",13,7924,2076,9006,9640,10000,994,360,0
"14",14,7693,2307,9361,9697,10000,639,303,0
"15",15,8241,1759,9468,9893,10000,532,107,0
"16",16,7843,2157,8913,9775,10000,1087,225,0
"17",17,8046,1954,9187,9800,10000,813,200,0
"18",18,8107,1893,9572,9976,10000,428,24,0
"19",19,7502,2498,9498,9983,10000,502,17,0
"20",20,7994,2006,9641,9898,10000,359,102,0
"21",21,5387,2793,8024,8173,8180,156,7,0
