"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,7996,2004,9598,9998,10000,402,2,0
"2",2,9193,807,9828,9987,10000,172,13,0
"3",3,8854,1146,9643,9935,10000,357,65,0
"4",4,8887,1113,9788,9985,10000,212,15,0
"5",5,8939,1061,9816,9982,10000,184,18,0
"6",6,9018,982,9804,9986,10000,196,14,0
"7",7,8881,1119,9842,9977,10000,158,23,0
"8",8,8764,1236,9788,9977,10000,212,23,0
"9",9,8892,1108,9566,9886,10000,434,114,0
"10",10,9178,822,9631,9847,10000,369,153,0
"11",11,8880,1120,9619,9916,10000,381,84,0
"12",12,8947,1053,9652,9876,10000,348,124,0
"13",13,9158,842,9560,9945,10000,440,55,0
"14",14,9302,698,9794,9986,10000,206,14,0
"15",15,9114,886,9674,9908,10000,326,92,0
"16",16,9089,911,9624,9946,10000,376,54,0
"17",17,8986,1014,9908,9959,10000,92,41,0
"18",18,9348,652,9862,9959,10000,138,41,0
"19",19,9159,841,9732,9989,10000,268,11,0
"20",20,9138,862,9681,9925,10000,319,75,0
"21",21,9161,839,9784,9932,10000,216,68,0
"22",22,9059,941,9810,9993,10000,190,7,0
"23",23,8836,1164,9703,10000,10000,297,0,0
"24",24,9008,992,9857,9934,10000,143,66,0
"25",25,8758,1242,9837,9937,10000,163,63,0
"26",26,9051,949,9859,9992,10000,141,8,0
"27",27,9083,917,9932,9972,10000,68,28,0
"28",28,514,31,545,545,545,0,0,0
