"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,8489,1511,9674,9986,10000,326,14,0
"2",2,8602,1398,9818,9961,10000,182,39,0
"3",3,8081,1919,9309,9890,10000,691,110,0
"4",4,8038,1962,9091,9754,10000,909,246,0
"5",5,8382,1618,9616,9935,10000,384,65,0
"6",6,8003,1997,9410,9926,10000,590,74,0
"7",7,8447,1553,9611,9806,10000,389,194,0
"8",8,8447,1553,9712,9965,10000,288,35,0
"9",9,8183,1817,9604,9839,10000,396,161,0
"10",10,7675,2325,8899,9656,10000,1101,344,0
"11",11,8269,1731,9228,9730,10000,772,270,0
"12",12,8267,1733,9370,9850,10000,630,150,0
"13",13,8338,1662,9316,9868,10000,684,132,0
"14",14,8004,1996,9374,9730,10000,626,270,0
"15",15,8420,1580,9653,9969,10000,347,31,0
"16",16,8293,1707,9308,9863,10000,692,137,0
"17",17,8165,1835,9211,9836,10000,789,164,0
"18",18,8214,1786,9565,9984,10000,435,16,0
"19",19,7946,2054,9607,9973,10000,393,27,0
"20",20,7868,2132,9625,9880,10000,375,120,0
"21",21,5785,2395,8014,8159,8180,166,21,0
