"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,7849,2151,9624,9984,10000,376,16,0
"2",2,8367,1633,9746,9957,10000,254,43,0
"3",3,7765,2235,9136,9843,10000,864,157,0
"4",4,7513,2487,8588,9713,10000,1412,287,0
"5",5,7965,2035,9522,9925,10000,478,75,0
"6",6,7396,2604,9262,9887,10000,738,113,0
"7",7,8140,1860,9629,9798,10000,371,202,0
"8",8,8298,1702,9663,9969,10000,337,31,0
"9",9,7313,2687,9542,9853,10000,458,147,0
"10",10,7601,2399,8829,9695,10000,1171,305,0
"11",11,8392,1608,9380,9905,10000,620,95,0
"12",12,8146,1854,9315,9812,10000,685,188,0
"13",13,8059,1941,9120,9717,10000,880,283,0
"14",14,7754,2246,9382,9719,10000,618,281,0
"15",15,8341,1659,9540,9927,10000,460,73,0
"16",16,8025,1975,9056,9812,10000,944,188,0
"17",17,8100,1900,9208,9828,10000,792,172,0
"18",18,8222,1778,9580,9981,10000,420,19,0
"19",19,7703,2297,9546,9983,10000,454,17,0
"20",20,8081,1919,9662,9892,10000,338,108,0
"21",21,5500,2680,8026,8173,8180,154,7,0
