"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,7870,2130,9625,9984,10000,375,16,0
"2",2,8358,1642,9745,9955,10000,255,45,0
"3",3,7749,2251,9131,9840,10000,869,160,0
"4",4,7541,2459,8605,9720,10000,1395,280,0
"5",5,7962,2038,9512,9925,10000,488,75,0
"6",6,7381,2619,9265,9889,10000,735,111,0
"7",7,8129,1871,9623,9798,10000,377,202,0
"8",8,8299,1701,9666,9973,10000,334,27,0
"9",9,7306,2694,9550,9859,10000,450,141,0
"10",10,7603,2397,8829,9696,10000,1171,304,0
"11",11,8402,1598,9385,9905,10000,615,95,0
"12",12,8161,1839,9323,9814,10000,677,186,0
"13",13,8064,1936,9119,9715,10000,881,285,0
"14",14,7761,2239,9373,9717,10000,627,283,0
"15",15,8342,1658,9540,9927,10000,460,73,0
"16",16,8030,1970,9066,9824,10000,934,176,0
"17",17,8096,1904,9209,9830,10000,791,170,0
"18",18,8226,1774,9581,9981,10000,419,19,0
"19",19,7709,2291,9546,9983,10000,454,17,0
"20",20,8065,1935,9664,9892,10000,336,108,0
"21",21,5490,2690,8025,8172,8180,155,8,0
